file,vertices
np_training_files/TROPOMISO2_20200413T012948__SAA=-163_SZA=42.npy,"[[(114, 149), (110, 149), (109, 147), (104, 147), (101, 145), (96, 145), (88, 139), (88, 136), (93, 132), (99, 132), (100, 134), (108, 136), (110, 139), (112, 140), (114, 145), (116, 146), (114, 149)], [(268, 301), (260, 300), (256, 296), (250, 295), (244, 290), (235, 288), (229, 282), (225, 281), (222, 278), (216, 277), (215, 275), (210, 274), (204, 268), (192, 262), (180, 253), (165, 248), (164, 246), (159, 246), (155, 244), (146, 235), (143, 235), (143, 225), (153, 224), (154, 226), (158, 227), (159, 230), (163, 230), (165, 233), (178, 235), (181, 240), (189, 242), (190, 245), (196, 246), (198, 249), (201, 249), (203, 252), (218, 260), (220, 263), (231, 268), (236, 273), (241, 274), (243, 277), (248, 279), (253, 285), (257, 286), (264, 293), (266, 294), (268, 298), (268, 301)], [(65, 282), (58, 282), (57, 279), (55, 278), (56, 263), (61, 262), (62, 266), (65, 268), (66, 273), (68, 274), (66, 275), (65, 282)], [(95, 337), (89, 336), (86, 331), (84, 330), (83, 316), (80, 312), (81, 305), (83, 304), (83, 300), (81, 299), (81, 291), (83, 290), (81, 289), (82, 282), (87, 281), (90, 285), (90, 288), (94, 290), (95, 299), (96, 297), (109, 295), (138, 296), (138, 294), (148, 285), (157, 285), (160, 287), (161, 293), (159, 293), (154, 298), (152, 303), (149, 306), (139, 308), (138, 310), (124, 312), (123, 314), (120, 315), (120, 321), (117, 324), (116, 328), (112, 330), (112, 332), (95, 337)], [(35, 264), (31, 260), (34, 252), (39, 253), (40, 260)], [(35, 264), (31, 260), (34, 252), (39, 253), (40, 260)], [(35, 264), (31, 260), (34, 252), (39, 253), (40, 260)], [(35, 264), (31, 260), (34, 252), (39, 253), (40, 260)], [(35, 264), (31, 260), (34, 252), (39, 253), (40, 260)], [(35, 264), (31, 260), (34, 252), (39, 253), (40, 260)], [(35, 264), (31, 260), (34, 252), (39, 253), (40, 260)], [(35, 264), (31, 260), (34, 252), (39, 253), (40, 260)]]"
np_training_files/TROPOMISO2_20220425T231756__SAA=-164_SZA=42.npy,[]
np_training_files/TROPOMISO2_20210712T225737__SAA=-164_SZA=32.npy,[]
np_training_files/TROPOMISO2_20200928T003837__SAA=-162_SZA=54.npy,[]
np_training_files/TROPOMISO2_20220811T005218__SAA=-165_SZA=38.npy,"[[(237, 143), (231, 143), (229, 142), (232, 134), (237, 134), (240, 137), (240, 141), (237, 143)], [(48, 323), (37, 321), (11, 322), (7, 321), (7, 316), (15, 308), (39, 308), (40, 310), (46, 312), (50, 318), (50, 322), (48, 323)]]"
np_training_files/TROPOMISO2_20210821T000635__SAA=-162_SZA=39.npy,"[[(96, 236), (83, 240), (70, 245), (65, 241), (69, 236), (78, 233), (92, 230), (96, 233)]]"
np_training_files/TROPOMISO2_20210327T010109__SAA=-158_SZA=39.npy,[]
np_training_files/TROPOMISO2_20220728T015617__SAA=-167_SZA=36.npy,"[[(119, 131), (115, 131), (113, 126), (116, 123), (117, 117), (119, 116), (126, 103), (145, 103), (156, 113), (156, 119), (152, 123), (137, 124), (132, 119), (129, 120), (128, 123), (126, 123), (124, 127), (119, 131)], [(40, 153), (33, 153), (31, 150), (33, 124), (45, 109), (50, 108), (51, 106), (58, 105), (59, 107), (59, 112), (57, 116), (48, 125), (48, 139), (40, 153)], [(157, 157), (147, 156), (145, 152), (145, 146), (148, 142), (153, 142), (157, 139), (162, 138), (176, 138), (185, 144), (185, 147), (183, 148), (183, 150), (176, 150), (175, 152), (159, 154), (157, 157)], [(213, 200), (210, 200), (208, 198), (210, 191), (223, 189), (229, 191), (230, 194), (229, 196), (222, 198), (214, 198), (213, 200)]]"
np_training_files/TROPOMISO2_20220507T004950__SAA=-150_SZA=30.npy,[]
np_training_files/TROPOMISO2_20220807T020642__SAA=-158_SZA=32.npy,"[[(51, 267), (48, 266), (46, 260), (46, 243), (38, 241), (37, 238), (34, 238), (32, 235), (29, 235), (28, 212), (30, 208), (36, 208), (40, 213), (42, 214), (47, 224), (46, 233), (48, 236), (48, 241), (52, 245), (57, 249), (57, 263), (55, 263), (54, 266), (51, 267)], [(79, 300), (73, 299), (65, 293), (60, 292), (54, 286), (55, 280), (57, 279), (63, 284), (72, 286), (74, 289), (79, 290), (80, 292), (81, 292), (81, 287), (84, 283), (90, 281), (91, 279), (92, 281), (94, 279), (95, 281), (112, 282), (116, 287), (116, 292), (110, 293), (109, 295), (82, 296), (81, 299), (79, 300)], [(245, 351), (237, 347), (238, 344), (241, 343), (242, 340), (252, 337), (254, 333), (259, 332), (261, 329), (266, 329), (270, 328), (271, 326), (279, 325), (284, 325), (287, 328), (292, 329), (294, 332), (299, 334), (304, 344), (303, 348), (301, 348), (300, 350), (293, 350), (288, 344), (279, 343), (276, 344), (273, 350), (271, 351)], [(75, 350), (66, 350), (66, 337), (68, 337), (73, 342), (73, 344), (75, 345), (75, 350)], [(197, 319), (201, 316), (208, 314), (209, 310), (196, 308), (193, 315)], [(104, 250), (109, 255), (102, 259), (93, 257), (90, 251), (96, 250)]]"
np_training_files/TROPOMISO2_20200507T022139__SAA=-163_SZA=38.npy,"[[(279, 196), (275, 196), (274, 194), (271, 194), (271, 187), (267, 183), (268, 176), (273, 175), (273, 173), (275, 172), (274, 170), (277, 169), (278, 166), (282, 164), (283, 161), (292, 161), (294, 158), (299, 158), (301, 161), (301, 164), (303, 165), (303, 168), (301, 169), (301, 176), (295, 184), (295, 186), (297, 187), (296, 189), (293, 191), (285, 191), (279, 196)], [(290, 190), (290, 190)], [(307, 234), (301, 233), (299, 231), (302, 223), (310, 225), (310, 233), (307, 234)]]"
np_training_files/TROPOMISO2_20210409T001850__SAA=-161_SZA=41.npy,[]
np_training_files/TROPOMISO2_20220923T004844__SAA=-171_SZA=62.npy,[]
np_training_files/TROPOMISO2_20220702T000117__SAA=-162_SZA=31.npy,"[[(70, 167), (62, 161), (63, 154), (68, 154), (70, 158), (70, 163), (72, 164), (70, 165), (70, 167)]]"
np_training_files/TROPOMISO2_20200503T001448__SAA=-163_SZA=39.npy,[]
np_training_files/TROPOMISO2_20220620T002610__SAA=-159_SZA=29.npy,"[[(196, 189), (190, 189), (186, 186), (173, 186), (172, 179), (181, 174), (196, 175), (196, 186), (194, 187), (196, 188), (196, 189)], [(158, 215), (155, 211), (158, 211), (162, 207), (164, 207), (172, 198), (176, 199), (176, 208), (175, 211), (169, 213), (159, 213), (158, 215)], [(122, 187), (126, 187), (135, 196), (145, 205), (152, 208), (161, 209), (166, 205), (171, 200), (174, 197), (179, 205), (174, 213), (160, 217), (146, 215), (136, 206), (128, 197), (121, 191)]]"
np_training_files/TROPOMISO2_20220318T233021__SAA=-169_SZA=54.npy,[]
np_training_files/TROPOMISO2_20200318T231850__SAA=-172_SZA=58.npy,[]
np_training_files/TROPOMISO2_20200709T005908__SAA=-166_SZA=33.npy,"[[(134, 143), (110, 142), (106, 141), (106, 136), (95, 136), (92, 135), (94, 134), (95, 130), (101, 130), (102, 128), (108, 127), (116, 128), (118, 131), (121, 132), (122, 134), (124, 134), (125, 132), (126, 134), (129, 135), (138, 135), (136, 138), (139, 139), (146, 139), (145, 136), (140, 135), (164, 136), (164, 134), (167, 134), (165, 136), (168, 137), (167, 139), (162, 139), (161, 141), (156, 142), (134, 143)], [(156, 139), (156, 136), (149, 137), (151, 139), (156, 139)], [(236, 82), (238, 90), (226, 96), (206, 98), (201, 96), (205, 90), (218, 91), (226, 88)], [(125, 136), (148, 136), (166, 133), (175, 130), (182, 135), (162, 143), (139, 146), (128, 144), (115, 143), (102, 142), (116, 136)], [(21, 253), (21, 260), (28, 263), (30, 258), (26, 255)], [(25, 282), (24, 275), (35, 272), (38, 282)]]"
np_training_files/TROPOMISO2_20210615T230526__SAA=-168_SZA=36.npy,[]
np_training_files/TROPOMISO2_20210318T003109__SAA=-165_SZA=48.npy,[]
np_training_files/TROPOMISO2_20210927T001425__SAA=-165_SZA=57.npy,[]
np_training_files/TROPOMISO2_20220904T234245__SAA=-165_SZA=47.npy,"[[(40, 190), (36, 189), (35, 186), (33, 185), (37, 180), (38, 182), (40, 183), (40, 186), (42, 187), (42, 189), (40, 190)], [(152, 181), (156, 178), (160, 183), (156, 187)], [(152, 181), (156, 178), (160, 183), (156, 187)], [(152, 181), (156, 178), (160, 183), (156, 187)], [(152, 181), (156, 178), (160, 183), (156, 187)], [(42, 193), (38, 191), (31, 180), (30, 173), (40, 183), (43, 188)]]"
np_training_files/TROPOMISO2_20200328T012850__SAA=-163_SZA=45.npy,[]
np_training_files/TROPOMISO2_20200310T020605__SAA=-165_SZA=49.npy,[]
np_training_files/TROPOMISO2_20210417T231153__SAA=-168_SZA=47.npy,[]
np_training_files/TROPOMISO2_20220504T000756__SAA=-161_SZA=38.npy,"[[(42, 206), (45, 201), (39, 198), (37, 204)], [(54, 193), (58, 195), (80, 187), (86, 177), (80, 174), (72, 185), (54, 189)]]"
np_training_files/TROPOMISO2_20210604T011201__SAA=-165_SZA=35.npy,"[[(286, 42), (283, 40), (283, 32), (286, 30), (289, 30), (288, 34), (289, 39)]]"
np_training_files/TROPOMISO2_20200519T235818__SAA=-172_SZA=43.npy,[]
np_training_files/TROPOMISO2_20220722T002617__SAA=-162_SZA=32.npy,"[[(20, 300), (18, 300), (17, 296), (19, 290), (25, 288), (27, 285), (31, 284), (34, 281), (40, 282), (40, 288), (38, 288), (35, 293), (32, 293), (29, 297), (27, 296), (26, 299), (20, 300)], [(97, 206), (100, 209), (110, 209), (118, 207), (118, 202), (112, 202), (106, 204), (100, 205)], [(124, 197), (129, 196), (135, 194), (135, 190), (129, 191), (123, 194)], [(212, 192), (221, 191), (222, 189), (219, 188), (212, 189), (210, 190)], [(172, 192), (175, 193), (185, 191), (188, 189), (180, 189), (174, 190)]]"
np_training_files/TROPOMISO2_20210320T233609__SAA=-169_SZA=53.npy,"[[(278, 215), (275, 215), (273, 211), (275, 203), (286, 201), (286, 204), (289, 206), (288, 209), (282, 213), (279, 213), (278, 215)], [(301, 253), (298, 253), (290, 245), (290, 236), (292, 235), (290, 234), (294, 230), (299, 231), (301, 235), (301, 238), (303, 239), (304, 251), (301, 253)], [(21, 338), (16, 341), (15, 346), (15, 350), (21, 351), (22, 345)], [(271, 215), (275, 217), (294, 205), (289, 202), (279, 203)]]"
np_training_files/TROPOMISO2_20220804T232142__SAA=-158_SZA=31.npy,[]
np_training_files/TROPOMISO2_20210623T001205__SAA=-155_SZA=26.npy,[]
np_training_files/TROPOMISO2_20210426T000303__SAA=-169_SZA=46.npy,[]
np_training_files/TROPOMISO2_20210718T004737__SAA=-172_SZA=40.npy,"[[(198, 22), (195, 21), (191, 17), (195, 9), (200, 9), (202, 12), (202, 17), (204, 18), (202, 19), (202, 21), (198, 22)], [(157, 70), (152, 68), (146, 68), (145, 66), (143, 66), (139, 62), (139, 58), (144, 53), (152, 54), (156, 60), (157, 64), (160, 66), (160, 69), (157, 70)], [(112, 238), (110, 238), (106, 235), (105, 231), (110, 224), (114, 227), (114, 231), (116, 232), (116, 234), (112, 238)], [(159, 36), (163, 39), (167, 37), (171, 39), (173, 42), (179, 39), (177, 34), (171, 33), (166, 32), (162, 32), (159, 33)], [(196, 14), (192, 18), (194, 26), (205, 17), (200, 2), (193, 3)], [(196, 14), (192, 18), (194, 26), (205, 17), (200, 2), (193, 3)]]"
np_training_files/TROPOMISO2_20220715T005617__SAA=-153_SZA=26.npy,[]
np_training_files/TROPOMISO2_20210316T231109__SAA=-170_SZA=56.npy,"[[(173, 204), (176, 204), (178, 202), (175, 197), (172, 201)]]"
np_training_files/TROPOMISO2_20220802T002142__SAA=-169_SZA=39.npy,[]
np_training_files/TROPOMISO2_20210720T000737__SAA=-165_SZA=34.npy,[]
np_training_files/TROPOMISO2_20200914T013909__SAA=-155_SZA=40.npy,[]
np_training_files/TROPOMISO2_20210428T230803__SAA=-176_SZA=52.npy,[]
np_training_files/TROPOMISO2_20210311T230435__SAA=-170_SZA=57.npy,"[[(152, 227), (158, 227), (161, 225), (157, 222), (155, 225), (151, 225), (151, 226), (152, 227)], [(152, 227), (158, 227), (161, 225), (157, 222), (155, 225), (151, 225), (151, 226), (152, 227)]]"
np_training_files/TROPOMISO2_20200919T014829__SAA=-163_SZA=51.npy,"[[(186, 288), (181, 288), (180, 286), (176, 284), (175, 279), (166, 277), (164, 274), (162, 274), (161, 267), (164, 266), (165, 264), (168, 264), (169, 266), (182, 270), (190, 279), (189, 285), (186, 288)], [(48, 193), (48, 195), (52, 195), (52, 193)], [(48, 193), (48, 195), (52, 195), (52, 193)]]"
np_training_files/TROPOMISO2_20200713T012408__SAA=-165_SZA=33.npy,"[[(99, 253), (84, 251), (79, 248), (79, 243), (89, 240), (97, 242), (105, 249), (105, 252), (99, 253)], [(102, 274), (92, 270), (91, 267), (93, 264), (103, 264), (103, 266), (106, 268), (106, 271), (105, 273), (102, 274)], [(72, 234), (66, 241), (73, 245)]]"
np_training_files/TROPOMISO2_20220623T231149__SAA=-167_SZA=34.npy,[]
np_training_files/TROPOMISO2_20220501T230756__SAA=-174_SZA=49.npy,[]
np_training_files/TROPOMISO2_20200802T000825__SAA=-168_SZA=39.npy,[]
np_training_files/TROPOMISO2_20200519T015318__SAA=-149_SZA=27.npy,"[[(65, 322), (68, 324), (68, 327), (65, 328), (58, 326), (55, 322), (54, 317), (57, 312), (58, 312), (60, 315), (60, 318), (63, 321)]]"
np_training_files/TROPOMISO2_20220513T021928__SAA=-154_SZA=31.npy,"[[(226, 282), (221, 282), (222, 279), (213, 279), (208, 277), (207, 269), (211, 267), (213, 263), (216, 262), (217, 260), (222, 260), (224, 263), (230, 264), (233, 268), (233, 271), (230, 275), (231, 278), (230, 279), (225, 279), (226, 282)], [(231, 321), (223, 321), (222, 319), (216, 317), (216, 309), (223, 301), (237, 301), (238, 299), (246, 299), (247, 304), (252, 305), (253, 307), (250, 308), (244, 315), (232, 319), (231, 321)]]"
np_training_files/TROPOMISO2_20220921T012314__SAA=-162_SZA=50.npy,[]
np_training_files/TROPOMISO2_20220402T235021__SAA=-169_SZA=51.npy,[]
np_training_files/TROPOMISO2_20200422T001948__SAA=-160_SZA=39.npy,[]
np_training_files/TROPOMISO2_20210531T004701__SAA=-167_SZA=37.npy,[]
np_training_files/TROPOMISO2_20220610T001610__SAA=-170_SZA=38.npy,"[[(57, 15), (53, 10), (48, 7), (39, 8), (35, 10), (29, 12), (24, 9), (20, 13), (24, 17), (30, 17), (37, 15), (43, 13), (50, 14), (54, 16)], [(57, 15), (53, 10), (48, 7), (39, 8), (35, 10), (29, 12), (24, 9), (20, 13), (24, 17), (30, 17), (37, 15), (43, 13), (50, 14), (54, 16)]]"
np_training_files/TROPOMISO2_20210922T234709__SAA=-161_SZA=50.npy,[]
np_training_files/TROPOMISO2_20220814T013718__SAA=-167_SZA=41.npy,"[[(65, 172), (55, 172), (53, 169), (47, 167), (43, 155), (42, 153), (36, 153), (32, 150), (32, 143), (39, 138), (44, 132), (59, 127), (68, 127), (69, 134), (66, 136), (65, 139), (62, 139), (61, 141), (52, 145), (51, 150), (54, 150), (55, 152), (65, 154), (66, 156), (70, 156), (73, 153), (77, 154), (77, 160), (75, 165), (65, 172)], [(296, 146), (274, 145), (268, 140), (273, 138), (275, 135), (288, 135), (296, 140), (297, 145), (296, 146)], [(141, 270), (136, 270), (131, 262), (130, 257), (132, 249), (141, 244), (141, 238), (138, 234), (134, 233), (126, 233), (120, 235), (114, 231), (114, 227), (116, 226), (117, 220), (116, 214), (114, 213), (114, 208), (117, 205), (125, 205), (132, 211), (136, 211), (141, 213), (143, 216), (147, 216), (148, 218), (153, 219), (157, 218), (158, 216), (176, 215), (177, 213), (185, 213), (188, 211), (200, 212), (203, 209), (208, 210), (209, 213), (207, 216), (202, 216), (200, 219), (190, 223), (189, 226), (184, 227), (179, 232), (178, 246), (176, 247), (175, 251), (170, 252), (167, 255), (146, 257), (141, 261), (141, 264), (143, 266), (147, 268), (142, 268), (141, 270)], [(139, 268), (139, 268)]]"
np_training_files/TROPOMISO2_20220308T011657__SAA=-167_SZA=54.npy,[]
np_training_files/TROPOMISO2_20220311T002021__SAA=-168_SZA=54.npy,[]
np_training_files/TROPOMISO2_20210302T003324__SAA=-171_SZA=61.npy,[]
np_training_files/TROPOMISO2_20210408T021850__SAA=-160_SZA=40.npy,[]
np_training_files/TROPOMISO2_20200609T001852__SAA=-152_SZA=26.npy,"[[(77, 319), (72, 318), (72, 315), (68, 310), (69, 301), (73, 299), (79, 300), (81, 303), (84, 305), (84, 308), (86, 309), (86, 312), (80, 318), (77, 319)]]"
np_training_files/TROPOMISO2_20210507T233803__SAA=-169_SZA=44.npy,[]
np_training_files/TROPOMISO2_20220824T014718__SAA=-158_SZA=36.npy,[]
np_training_files/TROPOMISO2_20220617T012610__SAA=-171_SZA=38.npy,"[[(25, 40), (16, 40), (14, 39), (14, 33), (21, 29), (23, 26), (35, 20), (36, 18), (42, 18), (44, 22), (42, 28), (35, 35), (27, 37), (25, 40)], [(152, 153), (143, 153), (143, 139), (146, 138), (147, 136), (152, 136), (157, 132), (163, 132), (165, 136), (164, 142), (162, 142), (161, 145), (159, 145), (157, 149), (152, 153)], [(73, 84), (77, 86), (82, 84), (95, 77), (102, 65), (100, 58), (96, 64), (86, 76)], [(73, 84), (77, 86), (82, 84), (95, 77), (102, 65), (100, 58), (96, 64), (86, 76)]]"
np_training_files/TROPOMISO2_20200904T232909__SAA=-164_SZA=46.npy,[]
np_training_files/TROPOMISO2_20210723T005237__SAA=-168_SZA=36.npy,"[[(0, 208), (3, 208), (5, 205), (9, 205), (10, 207), (14, 208), (16, 212), (20, 214), (22, 223), (24, 224), (24, 227), (18, 233), (7, 233), (2, 227), (0, 227)], [(98, 237), (93, 237), (92, 235), (85, 235), (83, 233), (74, 233), (70, 230), (70, 228), (79, 226), (82, 223), (94, 222), (95, 220), (109, 218), (114, 213), (121, 212), (123, 214), (123, 219), (117, 224), (117, 226), (115, 226), (108, 233), (99, 235), (98, 237)]]"
np_training_files/TROPOMISO2_20200831T230409__SAA=-165_SZA=46.npy,[]
np_training_files/TROPOMISO2_20210903T230709__SAA=-174_SZA=56.npy,[]
np_training_files/TROPOMISO2_20200807T001311__SAA=-163_SZA=35.npy,[]
np_training_files/TROPOMISO2_20200714T230408__SAA=-163_SZA=32.npy,"[[(194, 86), (186, 86), (185, 84), (176, 83), (175, 81), (168, 81), (164, 79), (158, 79), (157, 77), (146, 76), (142, 73), (136, 72), (135, 70), (124, 68), (123, 66), (118, 65), (112, 59), (106, 57), (99, 51), (96, 51), (81, 36), (80, 29), (78, 29), (76, 26), (70, 26), (70, 19), (77, 10), (92, 11), (104, 24), (110, 26), (111, 29), (119, 29), (121, 32), (124, 32), (126, 35), (132, 37), (133, 39), (142, 42), (143, 46), (149, 48), (151, 51), (156, 51), (159, 54), (163, 54), (165, 57), (174, 59), (176, 62), (179, 62), (181, 65), (185, 65), (187, 68), (191, 70), (196, 70), (198, 75), (204, 80), (204, 83), (202, 84), (195, 84), (194, 86)], [(275, 112), (269, 112), (266, 107), (257, 97), (256, 93), (254, 92), (241, 81), (241, 74), (245, 70), (251, 68), (253, 63), (258, 58), (268, 58), (271, 60), (271, 62), (273, 63), (273, 66), (271, 67), (271, 76), (284, 91), (284, 95), (282, 96), (278, 109), (275, 112)], [(314, 130), (312, 128), (309, 128), (307, 130), (306, 128), (298, 125), (296, 123), (297, 117), (303, 113), (310, 114), (312, 117), (314, 117), (317, 121), (318, 125), (317, 128), (315, 128), (314, 130)]]"
np_training_files/TROPOMISO2_20210709T001534__SAA=-171_SZA=37.npy,[]
np_training_files/TROPOMISO2_20220714T011617__SAA=-158_SZA=28.npy,"[[(321, 246), (316, 246), (314, 245), (315, 236), (310, 233), (306, 223), (304, 222), (307, 216), (311, 216), (313, 222), (325, 222), (332, 227), (332, 238), (329, 242), (321, 246)], [(0, 310), (1, 307), (21, 307), (21, 304), (32, 304), (39, 313), (40, 317), (43, 318), (45, 322), (55, 323), (59, 329), (58, 336), (55, 338), (54, 341), (55, 350), (50, 351)], [(37, 351), (32, 350), (32, 342), (29, 339), (19, 339), (18, 337), (12, 337), (6, 330), (0, 332)], [(28, 338), (22, 337), (20, 332), (16, 329), (9, 328), (17, 313), (25, 322), (30, 333)]]"
np_training_files/TROPOMISO2_20220604T002629__SAA=-159_SZA=31.npy,[]
np_training_files/TROPOMISO2_20220408T234021__SAA=-177_SZA=58.npy,[]
np_training_files/TROPOMISO2_20220904T014245__SAA=-164_SZA=45.npy,"[[(23, 195), (25, 193), (33, 187), (35, 184), (33, 178), (31, 178), (28, 183), (22, 187), (22, 191), (22, 194)], [(23, 195), (25, 193), (33, 187), (35, 184), (33, 178), (31, 178), (28, 183), (22, 187), (22, 191), (22, 194)]]"
np_training_files/TROPOMISO2_20200601T011318__SAA=-168_SZA=38.npy,"[[(21, 50), (20, 48), (18, 47), (18, 44), (15, 42), (14, 32), (15, 29), (17, 28), (18, 22), (20, 21), (22, 11), (26, 10), (31, 15), (31, 20), (29, 21), (28, 26), (28, 36), (26, 37), (24, 46), (21, 50)], [(54, 99), (49, 98), (47, 95), (48, 88), (50, 87), (50, 78), (57, 70), (59, 63), (64, 62), (65, 65), (66, 77), (65, 94), (64, 97), (54, 99)], [(42, 143), (35, 142), (35, 128), (37, 121), (42, 119), (44, 115), (47, 114), (46, 134), (44, 135), (46, 136), (44, 138), (48, 141), (47, 142), (44, 141), (42, 143)], [(50, 149), (50, 139), (54, 139), (54, 149)], [(36, 140), (49, 90), (52, 71), (56, 69), (47, 26), (55, 25), (65, 70), (64, 96), (62, 100), (56, 97), (48, 120), (42, 143)]]"
np_training_files/TROPOMISO2_20220313T232521__SAA=-172_SZA=60.npy,[]
np_training_files/TROPOMISO2_20220830T013718__SAA=-166_SZA=46.npy,[]
np_training_files/TROPOMISO2_20200626T234425__SAA=-170_SZA=37.npy,[]
np_training_files/TROPOMISO2_20220816T005718__SAA=-160_SZA=36.npy,"[[(299, 218), (296, 218), (295, 216), (293, 215), (293, 208), (295, 207), (296, 204), (299, 205), (300, 208), (299, 218)], [(288, 293), (283, 293), (271, 279), (271, 274), (278, 267), (278, 265), (283, 262), (288, 265), (290, 269), (290, 275), (292, 276), (292, 289), (288, 293)]]"
np_training_files/TROPOMISO2_20220509T015732__SAA=-167_SZA=42.npy,"[[(224, 130), (220, 128), (218, 124), (209, 121), (208, 118), (222, 117), (223, 119), (226, 119), (227, 124), (229, 125), (229, 128), (225, 128), (224, 130)], [(206, 124), (226, 130), (227, 138), (266, 144), (267, 139), (259, 125), (244, 128), (238, 122), (205, 115)], [(180, 41), (174, 39), (171, 24), (173, 21), (183, 25)], [(113, 53), (115, 59), (120, 57), (119, 51), (116, 50)], [(113, 53), (115, 59), (120, 57), (119, 51), (116, 50)]]"
np_training_files/TROPOMISO2_20220507T005450__SAA=-170_SZA=44.npy,[]
np_training_files/TROPOMISO2_20200915T012329__SAA=-164_SZA=51.npy,[]
np_training_files/TROPOMISO2_20220805T010642__SAA=-171_SZA=42.npy,"[[(35, 177), (21, 169), (21, 163), (29, 160), (33, 147), (30, 135), (28, 114), (28, 104), (42, 102), (44, 118), (46, 130), (46, 136), (40, 169)]]"
np_training_files/TROPOMISO2_20200327T234850__SAA=-167_SZA=49.npy,[]
np_training_files/TROPOMISO2_20200811T003811__SAA=-162_SZA=35.npy,[]
np_training_files/TROPOMISO2_20200821T005336__SAA=-171_SZA=47.npy,"[[(14, 190), (8, 187), (21, 169), (24, 177)]]"
np_training_files/TROPOMISO2_20200625T001925__SAA=-157_SZA=27.npy,"[[(79, 249), (71, 249), (70, 242), (78, 235), (87, 233), (91, 234), (92, 236), (92, 240), (87, 245), (82, 246), (79, 249)]]"
np_training_files/TROPOMISO2_20200807T235811__SAA=-177_SZA=48.npy,[]
np_training_files/TROPOMISO2_20210305T231830__SAA=-174_SZA=63.npy,[]
np_training_files/TROPOMISO2_20200825T011836__SAA=-169_SZA=48.npy,[]
